# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.3.7

ability::combat::<player>, long, 0000000000000000
ability::findcombatexp::explanation::1, string, 805BEC9E83EC96B4EBB284EBA6B020ECA084ED88ACEC9D9820EAB090EAB081EC9D8420EB9098ECB0BEEC958420ED9788EC95BDED95B4ECA78420ECB2B4EBA0A5EC9D8420EC9B90EB9E98EB8C80EBA19C20EB9098EB8F8CEBA6B0EB8BA4
ability::findcombatexp::explanation::2, string, 8047EC96B4EBB98CEBA6ACED8BB020EBA088EBB2A8EC9DB420EC98ACEB9DBCEAB088EC8898EBA19D20EAB8B0EBB3B820ECB2B4EBA0A5EC979020EAB080EAB98CEC9B8CECA784EB8BA4
ability::findcombatexp::level::<player>, long, 0000000000000000
ability::findcombatexp::maxlevel, long, 0000000000000002
ability::findcombatexp::name, string, 802BC2A733C2A76C5BED8C8CEC9DB8EB939C20ECBDA4EBB18320EC9DB5EC8AA4ED94BCEBA6ACEC96B8EC8AA45D
ability::findcombatexp::rating, string, 800BC2A7335BEBA088EC96B45D
ability::totallevel::<player>, long, 0000000000000000
expedition::partyboss::<player>, long, 0000000000000000
expedition::session::<player>, long, 0000000000000000

