# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.3.7

ability::findcombatexp::explanation::1, string, 805EC2A737EC9E83EC96B4EBB284EBA6B020ECA084ED88ACEC9D9820EAB090EAB081EC9D8420EB9098ECB0BEEC958420ED9788EC95BDED95B4ECA78420ECB2B4EBA0A5EC9D8420EC9B90EB9E98EB8C80EBA19C20EB9098EB8F8CEBA6B0EB8BA4
ability::findcombatexp::explanation::2, string, 804CC2A737EC96B4EBB98CEBA6ACED8BB020EBA088EBB2A8EC9DB420EC98ACEB9DBCEAB088EC8898EBA19D20EAB8B0EBB3B820ECB2B4EBA0A5EC979020EAB080EAB98CEC9B8CECA784EB8BA42E2E
ability::findcombatexp::icon, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D4461746187076973416C6961730F01046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C756520802E76616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A20554E53504543494649430A0E737472696374457175616C6974790F000D6D6F646966696564537461636B0F000A6973416E797468696E670F0002696403000000F8086974656D466F726D0F0006616D6F756E7403FFFFFFFF046974656D000A676C6F62616C4D6574610005626C6F636B00
ability::findcombatexp::level::<player>, long, 0000000000000000
ability::findcombatexp::maxlevel, long, 0000000000000002
ability::findcombatexp::name, string, 802BC2A733C2A76C5BED8C8CEC9DB8EB939C20ECBDA4EBB18320EC9DB5EC8AA4ED94BCEBA6ACEC96B8EC8AA45D
ability::findcombatexp::rating, string, 800BC2A7335BEBA088EC96B45D
ability::nimblebody::explanation::1, string, 8049C2A737EC9E83EC96B4EBB284EBA6B020ED948CEBA088EC9DB4EC96B4EC9D9820EC9DB4EB8F99EC868DEB8F84EBA5BC20EC9B90EB9E98EB8C80EBA19C20EB9098EB8F8CEBA6B0EB8BA4
ability::nimblebody::explanation::2, string, 8052C2A737EC96B4EBB98CEBA6ACED8BB020EBA088EBB2A8EC9DB420EC98ACEB9DBCEAB088EC8898EBA19D20EAB8B0EBB3B820EC9DB4EB8F99EC868DEB8F84EC979020EAB080EAB98CEC9B8CECA784EB8BA42E2E
ability::nimblebody::icon, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D4461746187076973416C6961730F01046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C756520802E76616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A20554E53504543494649430A0E737472696374457175616C6974790F000D6D6F646966696564537461636B0F000A6973416E797468696E670F000269640300000144086974656D466F726D0F0006616D6F756E7403FFFFFFFF046974656D000A676C6F62616C4D6574610005626C6F636B00
ability::nimblebody::maxlevel, long, 0000000000000002
ability::nimblebody::name, string, 8015C2A733C2A76C5BEB8B98EBB89420EBB094EB94945D
ability::nimblebody::rating, string, 800BC2A7335BEBA088EC96B45D
ability::skills::1, string, 800A4E696D626C65426F6479
ability::skills::2, string, 800D66696E64636F6D626174657870
ability::{@skillname}::explanation::1, string, 8000
ability::{@skillname}::explanation::2, string, 8000
ability::{@skillname}::icon, string, 8000
ability::{@skillname}::level::<player>, long, 0000000000000000
ability::{@skillname}::maxlevel, string, 8000
ability::{@skillname}::name, string, 8000
ability::{@skillname}::rating, string, 8000
underworld::abilityprefix, string, 8014C2A7365BEC96B4EBB98CEBA6ACED8BB05DC2A737
underworld::dungeon::door_open, long, 0000000000000001
underworld::dungeon::now_opentime, long, 0000000000000000
underworld::dungeon::opentime, long, 0000000000000BB8
underworld::motd1, string, 8032202020202020202020202020C2A761C2A76C2BC2A736C2A76C4D696E65637261667420556E64657220576F726C64C2A7612B
underworld::motd2, string, 8039202020202020202020202020202020C2A761312E31332056657220C2A763EAB09CEBB09CECA491202E202E202E202E20C2A736C2A76B313131
underworld::motd, string, 8028C2A765C2A76C556E646572576F726C6420ED858CEC8AA4ED8AB820EC849CEBB28420312E31332E32
underworld::prefix, string, 800AC2A7365B55575DC2A737
underworld::titlename1, string, 8000
underworld::titlename2, string, 8018C2A73657656C636F6D6520746F20556E646572576F726C64
underworld::titletime, long, 0000000000000005
underworld::userin, string, 8009C2A7365B2B5DC2A737
underworld::usermessage::prefix, string, 8003C2A737
underworld::userout, string, 8009C2A7385B2D5DC2A737
underworld::vur, string, 8033C2A7365B55575DC2A737C2A77220C2A736EC96B8EB8D94EC9B94EB939C20ED9484EBA19CECA09DED8AB820282076312E302029

